ID	Poskey	Day	Month	Year	Hours	Minutes	Latitude	Longitude	Area_surveyedkm2	Seastate	Gannets_in_transect	X	Y
2434	170000772	14	7	1997	16	20	55.92	0.23	1.25	3	0	326909.5241	6200642.456
2435	170000773	14	7	1997	16	30	55.92	0.17	1.25	3	0	323161.3944	6200794.288
2436	170000774	14	7	1997	16	40	55.92	0.1	1.19	3	0	318788.6679	6200975.539
2437	170000775	14	7	1997	16	50	55.92	0.04	1.19	3	0	315040.6967	6201134.425
2438	170000776	14	7	1997	17	0	55.92	-0.03	1.19	3	1	310668.1593	6201323.908
2439	170000777	14	7	1997	17	10	55.92	-0.09	1.19	3	1	306920.3539	6201489.849
2440	170000778	14	7	1997	17	20	55.92	-0.15	1.19	3	5	303172.6274	6201659.047
2441	170000779	14	7	1997	17	30	55.92	-0.22	1.19	3	2	298800.3817	6201860.56
2442	170000780	14	7	1997	17	40	55.92	-0.28	1.22	3	5	295052.8316	6202036.815
2443	170000781	14	7	1997	17	50	55.92	-0.35	1.22	3	2	290680.7958	6202246.561
2444	170000782	14	7	1997	18	0	55.92	-0.41	1.22	3	0	286933.4293	6202429.873
2445	170000783	14	7	1997	18	10	55.92	-0.48	1.22	3	2	282561.612	6202647.854
2446	170000784	14	7	1997	18	20	55.92	-0.54	1.15	3	1	278814.4363	6202838.224
2447	170000785	14	7	1997	18	30	55.92	-0.6	1.15	3	0	275067.3512	6203031.851
2448	170000786	14	7	1997	18	40	55.92	-0.66	1.15	3	1	271320.3582	6203228.737
2449	170000787	14	7	1997	18	50	55.92	-0.73	1.28	2	1	266948.9849	6203462.555
2450	170000788	14	7	1997	19	0	55.92	-0.8	1.28	2	0	262577.7414	6203700.808
2451	170000789	14	7	1997	19	10	55.92	-0.87	1.28	2	9	258206.6304	6203943.497
2452	170000790	14	7	1997	19	20	55.92	-0.93	1.22	2	8	254460.0711	6204155.047
2453	170000791	14	7	1997	19	30	55.92	-1	1.22	2	0	250089.2125	6204405.974
2454	170000792	14	7	1997	19	40	55.92	-1.06	1.22	2	10	246342.8731	6204624.585
2455	170000793	14	7	1997	19	50	55.92	-1.13	1.17	2	1	241972.2755	6204883.751
2456	170000794	14	7	1997	20	0	55.92	-1.19	1.17	2	0	238226.1635	6205109.425
2457	170000795	14	7	1997	20	10	55.92	-1.25	1.17	2	0	234480.1589	6205338.36
2458	170000796	15	7	1997	3	20	55.67	-1.34	1.18	1	0	227116.85	6177893.913
2459	170000797	15	7	1997	3	30	55.67	-1.28	1.18	1	7	230886.8488	6177659.277
2460	170000798	15	7	1997	3	40	55.67	-1.21	1.18	1	3	235285.3171	6177389.671
2461	170000799	15	7	1997	3	50	55.67	-1.15	1.24	0	0	239055.548	6177162.124
2462	170000800	15	7	1997	4	0	55.67	-1.09	1.24	1	0	242825.8836	6176937.848
2463	170000801	15	7	1997	4	10	55.67	-1.02	1.24	1	0	247224.7388	6176680.328
2464	170000802	15	7	1997	4	20	55.67	-0.96	1.24	2	0	250995.296	6176463.139
2465	170000803	15	7	1997	4	30	55.67	-0.9	1.16	2	0	254765.9531	6176249.222
2466	170000804	15	7	1997	4	40	55.67	-0.83	1.16	2	1	259165.1772	6176003.784
2467	170000805	15	7	1997	4	50	55.67	-0.77	1.16	1	3	262936.0454	6175796.953
2468	170000806	15	7	1997	5	0	55.67	-0.7	1.28	1	4	267335.5116	6175559.782
2469	170000807	15	7	1997	5	10	55.67	-0.63	1.28	1	5	271735.1046	6175327.061
2470	170000808	15	7	1997	5	20	55.67	-0.57	1.17	2	1	275506.2836	6175131.128
2471	170000809	15	7	1997	5	30	55.67	-0.51	1.17	2	5	279277.5524	6174938.465
2472	170000810	15	7	1997	5	40	55.67	-0.44	1.17	2	1	283677.4776	6174717.823
2473	170000811	15	7	1997	5	50	55.67	-0.38	1.17	2	0	287448.936	6174532.243
2474	170000812	15	7	1997	6	0	55.67	-0.32	1.22	2	2	291220.4795	6174349.931
2475	170000813	15	7	1997	6	10	55.67	-0.25	1.22	2	0	295620.7191	6174141.366
2476	170000814	15	7	1997	6	20	55.67	-0.19	1.22	3	0	299392.4417	6173966.136
2477	170000815	15	7	1997	6	30	55.67	-0.12	1.22	3	1	303792.886	6173765.832
2478	170000816	15	7	1997	6	40	55.67	-0.06	1.22	3	0	307564.7806	6173597.683
2479	170000817	15	7	1997	6	50	55.67	0.000722	1.22	3	0	311382.142	6173430.838
2480	170000818	15	7	1997	7	0	55.67	0.07	1.22	3	0	315737.4808	6173244.57
2481	170000819	15	7	1997	7	10	55.67	0.13	1.22	3	1	319509.6139	6173086.769
2482	170000820	15	7	1997	7	20	55.67	0.2	1.22	3	0	323910.5268	6172906.797
2483	170000821	15	7	1997	7	30	55.67	0.26	1.22	3	0	327682.8143	6172756.075
2484	170000822	15	7	1997	7	40	55.67	0.33	1.22	3	0	332083.9032	6172584.361
2485	170000823	15	7	1997	7	50	55.67	0.39	1.16	3	1	335856.338	6172440.717
2486	170000824	15	7	1997	8	0	55.67	0.45	1.16	3	0	339628.8383	6172300.339
2487	170000825	15	7	1997	8	10	55.67	0.51	1.16	3	0	343401.4027	6172163.229
2488	170000826	15	7	1997	8	20	55.67	0.57	1.16	3	0	347174.0296	6172029.384
2489	170000827	15	7	1997	8	30	55.67	0.64	1.16	3	0	351575.5046	6171877.36
2490	170000828	15	7	1997	8	40	55.67	0.71	1.24	3	0	355977.0604	6171729.782
2491	170000829	15	7	1997	8	50	55.67	0.77	1.24	3	0	359749.8848	6171606.825
2492	170000830	15	7	1997	9	0	55.67	0.83	1.24	3	0	363522.7653	6171487.133
2493	170000831	15	7	1997	9	10	55.67	0.89	1.17	3	1	367295.7002	6171370.707
2494	170000832	15	7	1997	9	20	55.67	0.96	1.17	3	0	371697.5244	6171239.005
2495	170000833	15	7	1997	9	30	55.67	1.02	1.17	4	0	375470.5721	6171129.654
2496	170000834	15	7	1997	9	40	55.67	1.08	1.17	4	0	379243.6696	6171023.569
2497	170000835	15	7	1997	9	50	55.67	1.15	1.17	4	0	383645.6773	6170903.93
2498	170000836	15	7	1997	10	0	55.67	1.21	1.2	4	0	387418.8772	6170804.919
2499	170000837	15	7	1997	10	10	55.67	1.28	1.2	4	1	391821.0004	6170693.534
2500	170000838	15	7	1997	10	20	55.67	1.34	1.2	4	0	395594.2957	6170601.597
2501	170000839	15	7	1997	10	30	55.67	1.41	1.31	4	0	399996.5261	6170498.464
2502	170000840	15	7	1997	10	40	55.67	1.48	1.31	4	0	404398.8107	6170399.775
2503	170000841	15	7	1997	10	50	55.67	1.55	1.31	4	0	408801.1472	6170305.53
2504	170000842	15	7	1997	11	0	55.67	1.62	1.31	4	0	413203.5332	6170215.728
2505	170000843	15	7	1997	11	10	55.67	1.68	1.71	4	1	416977.0445	6170142.291
2506	170000844	15	7	1997	12	53	55.67	1.74	1.23	4	0	420750.5889	6170072.118
2507	170000845	15	7	1997	13	3	55.67	1.8	1.11	4	1	424524.1648	6170005.21
2508	170000846	15	7	1997	13	12	55.65	1.83	1.14	4	0	426373.4318	6167747.327
2509	170000847	15	7	1997	13	22	55.61	1.83	1.14	4	0	426298.3943	6163296.041
2510	170000848	15	7	1997	13	32	55.58	1.83	1.14	4	0	426242.14	6159957.594
2511	170000849	15	7	1997	13	42	55.55	1.83	1.14	4	0	426185.9061	6156619.164
2512	170000850	15	7	1997	13	52	55.51	1.83	1.14	4	0	426110.9594	6152167.948
2513	170000851	15	7	1997	14	2	55.48	1.83	1.14	4	1	426054.7733	6148829.554
2514	170000852	15	7	1997	14	12	55.44	1.83	1.14	4	4	425979.8904	6144378.387
2515	170000853	15	7	1997	14	22	55.41	1.84	1.14	4	0	426556.8517	6141029.432
2516	170000854	15	7	1997	14	32	55.38	1.84	1.14	4	0	426501.2136	6137691.087
2517	170000855	15	7	1997	14	42	55.34	1.84	1.14	4	0	426427.0613	6133239.984
2518	170000856	15	7	1997	14	52	55.31	1.83	1.14	4	0	425736.773	6129912.289
2519	170000857	15	7	1997	15	2	55.27	1.83	1.48	4	0	425662.0453	6125461.241
2520	170000858	15	7	1997	15	15	55.25	1.8	1.18	4	0	423717.7324	6123268.139
2521	170000859	15	7	1997	15	25	55.25	1.74	1.18	4	0	419903.8289	6123335.421
2522	170000860	15	7	1997	15	35	55.25	1.68	1.18	4	0	416089.9561	6123405.987
2523	170000861	15	7	1997	15	45	55.25	1.62	1.18	4	0	412276.1155	6123479.835
2524	170000862	15	7	1997	15	55	55.25	1.56	1.14	4	0	408462.3085	6123556.966
2525	170000863	15	7	1997	16	5	55.25	1.5	1.14	4	0	404648.5367	6123637.38
2526	170000864	15	7	1997	16	15	55.25	1.44	1.14	4	0	400834.8014	6123721.076
2527	170000865	15	7	1997	16	25	55.25	1.38	1.18	4	0	397021.1042	6123808.056
2528	170000866	15	7	1997	16	35	55.25	1.32	1.18	4	0	393207.4465	6123898.319
2529	170000867	15	7	1997	16	45	55.25	1.25	1.18	4	0	388758.2311	6124007.775
2530	170000868	15	7	1997	16	55	55.25	1.19	1.19	4	0	384944.664	6124105.151
2531	170000869	15	7	1997	17	5	55.25	1.13	1.19	4	0	381131.1411	6124205.811
2532	170000870	15	7	1997	17	15	55.25	1.07	1.19	4	0	377317.6639	6124309.755
2533	170000871	15	7	1997	17	25	55.25	1	1.21	5	0	372868.6667	6124435.172
2534	170000872	15	7	1997	17	35	55.25	0.94	1.21	5	2	369055.2934	6124546.23
2535	170000873	15	7	1997	17	45	55.25	0.88	1.21	5	0	365241.9703	6124660.572
2536	170000874	15	7	1997	17	55	55.25	0.81	1.16	5	0	360793.1589	6124798.122
2537	170000875	15	7	1997	18	5	55.25	0.75	1.16	5	0	356979.9498	6124919.579
2538	170000876	15	7	1997	18	15	55.25	0.69	1.16	5	2	353166.7956	6125044.321
2539	170000877	15	7	1997	18	25	55.25	0.63	1.2	5	0	349353.6979	6125172.347
2540	170000878	15	7	1997	18	35	55.25	0.57	1.2	5	0	345540.6581	6125303.658
2541	170000879	15	7	1997	18	45	55.25	0.5	1.2	5	0	341092.1867	6125461.005
2542	170000880	16	7	1997	3	56	55.25	-0.38	1.22	4	0	285176.4095	6127820.571
2543	170000881	16	7	1997	4	6	55.25	-0.44	1.22	4	1	281364.5656	6128007.194
2544	170000882	16	7	1997	4	16	55.25	-0.5	1.22	4	0	277552.8059	6128197.105
2545	170000883	16	7	1997	4	26	55.25	-0.56	1.16	4	1	273741.132	6128390.304
2546	170000884	16	7	1997	4	36	55.25	-0.62	1.16	4	0	269929.5453	6128586.79
2547	170000885	16	7	1997	4	46	55.25	-0.69	1.16	4	1	265482.8063	6128820.181
2548	170000886	16	7	1997	4	56	55.25	-0.75	1.19	4	0	261671.4136	6129023.792
2549	170000887	16	7	1997	5	6	55.25	-0.81	1.19	3	0	257860.1129	6129230.691
2550	170000888	16	7	1997	5	16	55.25	-0.87	1.19	3	1	254048.9056	6129440.88
2551	170000889	16	7	1997	5	26	55.25	-0.93	1.16	3	0	250237.7932	6129654.357
2552	170000890	16	7	1997	5	36	55.25	-1	1.16	3	0	245791.6173	6129907.571
2553	170000891	16	7	1997	5	46	55.25	-1.06	1.16	3	0	241980.7156	6130128.176
2554	170000892	16	7	1997	5	56	55.25	-1.13	1.4	3	0	237534.7896	6130389.705
2555	170000893	16	7	1997	7	29	55.25	-1.24	1.25	2	0	230548.6143	6130809.728
2556	170000894	16	7	1997	7	39	55.25	-1.3	1.13	2	0	226738.1201	6131043.492
2557	170000895	16	7	1997	7	48	55.23	-1.32	1.19	2	2	225329.9889	6128898.695
2558	170000896	16	7	1997	7	58	55.2	-1.3	1.19	3	0	226394.8083	6125484.821
2559	170000897	16	7	1997	8	8	55.16	-1.29	1.19	3	0	226756.824	6120998.663
2560	170000898	16	7	1997	8	18	55.13	-1.27	1.28	3	8	227825.5139	6117585.239
2561	170000899	16	7	1997	8	28	55.09	-1.26	1.28	2	5	228190.8084	6113099.282
2562	170000900	16	7	1997	8	38	55.06	-1.24	1.28	2	0	229263.3644	6109686.309
2563	170000901	16	7	1997	8	48	55.02	-1.22	1.2	2	7	230270.7041	6105161.891
2564	170000902	16	7	1997	8	58	54.99	-1.2	1.2	2	2	231347.6061	6101749.54
2565	170000903	16	7	1997	9	8	54.94	-1.18	1.68	2	0	232293.4707	6096113.962
2566	170000904	16	7	1997	9	22	54.92	-1.13	1.25	2	0	235362.3892	6093700.069
2567	170000905	16	7	1997	9	32	54.92	-1.06	1.25	2	0	239845.1956	6093437.428
2568	170000906	16	7	1997	9	42	54.92	-1	1.25	2	1	243687.7067	6093215.887
2569	170000907	16	7	1997	9	52	54.92	-0.94	1.24	1	0	247530.3138	6092997.648
2570	170000908	16	7	1997	10	2	54.92	-0.88	1.24	1	1	251373.0152	6092782.714
2571	170000909	16	7	1997	10	12	54.92	-0.81	1.24	1	0	255856.2844	6092536.131
2572	170000910	16	7	1997	10	22	54.92	-0.74	1.29	2	0	260339.6778	6092294.045
2573	170000911	16	7	1997	10	32	54.92	-0.68	1.29	2	0	264182.6835	6092090.12
2574	170000912	16	7	1997	10	42	54.92	-0.61	1.29	2	0	268666.3015	6091856.381
2575	170000913	16	7	1997	10	52	54.92	-0.54	1.29	2	1	273150.0372	6091627.137
2576	170000914	16	7	1997	11	2	54.92	-0.48	1.29	2	0	276993.3311	6091434.219
2577	170000915	16	7	1997	11	12	54.92	-0.41	1.26	1	0	281477.2791	6091213.321
2578	170000916	16	7	1997	11	22	54.92	-0.34	1.26	1	0	285961.3382	6090996.917
2579	170000917	16	7	1997	11	32	54.91	-0.28	1.26	1	0	289752.748	6089702.849
2580	170000918	16	7	1997	11	42	54.91	-0.21	1.28	1	0	294238.1215	6089494.763
2581	170000919	16	7	1997	11	52	54.91	-0.15	1.28	1	0	298082.8106	6089319.98
2582	170000920	16	7	1997	12	2	54.91	-0.08	1.28	1	1	302568.3761	6089120.239
2583	170000921	16	7	1997	12	12	54.91	-0.01	1.28	2	0	307054.0419	6088924.99
2584	170000922	16	7	1997	12	22	54.91	0.05	1.27	2	1	310898.9762	6088761.21
2585	170000923	16	7	1997	12	32	54.91	0.12	1.27	2	1	315384.8218	6088574.304
2586	170000924	16	7	1997	12	42	54.92	0.19	1.27	2	0	319915.4372	6089504.211
2587	170000925	16	7	1997	12	52	54.92	0.25	1.27	2	0	323759.646	6089351.451
2588	170000926	16	7	1997	13	2	54.92	0.32	1.27	2	0	328244.6393	6089177.401
2589	170000927	16	7	1997	13	12	54.92	0.39	1.27	2	0	332729.7197	6089007.842
2590	170000928	16	7	1997	13	22	54.92	0.45	1.29	2	0	336574.1419	6088866.079
2591	170000929	16	7	1997	13	32	54.92	0.52	1.29	2	0	341059.3779	6088704.859
2592	170000930	16	7	1997	13	42	54.92	0.59	1.29	2	0	345544.6946	6088548.128
2593	170000931	16	7	1997	13	52	54.92	0.65	1.23	2	0	349389.3141	6088417.362
2594	170000932	16	7	1997	14	2	54.92	0.72	1.23	2	5	353874.7743	6088268.969
2595	170000933	16	7	1997	14	12	54.92	0.78	1.23	2	5	357719.5135	6088145.349
2596	170000934	16	7	1997	14	22	54.92	0.84	0.99	2	0	361564.3057	6088025.027
2597	170000935	16	7	1997	15	38	54.92	0.9	1.21	2	1	365409.1494	6087908.003
2598	170000936	16	7	1997	15	48	54.92	0.97	1.21	2	1	369894.8636	6087775.643
2599	170000937	16	7	1997	15	58	54.92	1.03	1.21	2	17	373739.814	6087665.764
2600	170000938	16	7	1997	16	8	54.92	1.09	1.21	2	1	377584.8114	6087559.182
2601	170000939	16	7	1997	16	18	54.92	1.16	1.21	2	0	382070.6991	6087439.005
2602	170000940	16	7	1997	16	28	54.92	1.22	1.21	2	0	385915.7933	6087339.569
2603	170000941	16	7	1997	16	38	54.92	1.28	1.21	3	0	389760.93	6087243.429
2604	170000942	16	7	1997	16	48	54.92	1.35	1.21	3	0	394246.9745	6087135.433
2605	170000943	16	7	1997	16	58	54.92	1.41	1.21	3	0	398092.1982	6087046.438
2606	170000944	16	7	1997	17	8	54.92	1.47	1.21	3	0	401937.4598	6086960.739
2607	170000945	16	7	1997	17	18	54.92	1.54	1.22	3	1	406423.6443	6086864.924
2608	170000946	16	7	1997	17	28	54.92	1.6	1.22	3	0	410268.983	6086786.368
2609	170000947	16	7	1997	17	38	54.92	1.66	1.22	3	1	414114.3551	6086711.109
2610	170000948	16	7	1997	17	48	54.92	1.73	1.09	3	1	418600.6628	6086627.473
2611	170000949	16	7	1997	17	58	54.92	1.78	1.09	3	0	421805.1937	6086570.481
2612	170000950	16	7	1997	18	8	54.92	1.82	0.44	3	0	424368.833	6086526.535
2613	170001048	30	6	1998	11	32	58.06	2	1.06	4	0	440991.0134	6435827.182
2614	170001049	30	6	1998	11	42	58.09	1.99	1.06	4	0	440450.9238	6439175.77
2615	170001050	30	6	1998	11	52	58.12	1.98	1.24	4	0	439911.8414	6442524.452
2616	170001051	30	6	1998	12	2	58.16	1.97	1.24	4	0	439390.7692	6446986.506
2617	170001052	30	6	1998	12	12	58.19	1.97	0.56	4	0	439441.7885	6450326.352
2618	170001053	30	6	1998	12	22	58.21	1.96	0.74	4	0	438888.2258	6452561.947
2619	170001054	30	6	1998	12	32	58.25	1.96	1.14	4	0	438956.9535	6457015.106
2620	170001055	30	6	1998	12	42	58.28	1.95	1.14	4	0	438422.0917	6460364.093
2621	170001056	30	6	1998	13	0	58.33	1.95	1.11	4	0	438508.8986	6465930.597
2622	170001057	30	6	1998	13	10	58.36	1.95	1.09	4	1	438561.0055	6469270.52
2623	170001058	30	6	1998	13	20	58.4	1.95	1.09	4	0	438630.5079	6473723.775
2624	170001059	30	6	1998	13	30	58.43	1.94	1.09	4	0	438098.7099	6477072.895
2625	170001060	30	6	1998	13	40	58.45	1.94	0.55	4	0	438133.815	6479299.54
2626	170001061	30	6	1998	13	45	58.48	1.94	1.09	4	0	438186.487	6482639.519
2627	170001062	30	6	1998	13	55	58.51	1.93	0.84	4	0	437656.5574	6485988.749
2628	170001063	30	6	1998	14	5	58.53	1.93	0.42	4	0	437692.0245	6488215.417
2629	170001064	30	6	1998	14	10	58.55	1.93	1.11	4	0	437727.4993	6490442.092
2630	170001065	30	6	1998	14	20	58.58	1.93	0.73	4	0	437780.7259	6493782.117
2631	170001066	30	6	1998	14	30	58.6	1.92	0.73	4	1	437235.0944	6496018.116
2632	170001067	30	6	1998	14	40	58.63	1.92	0.65	4	0	437288.8475	6499358.161
2633	170001068	30	6	1998	14	50	58.66	1.92	0.99	4	0	437342.6181	6502698.221
2634	170001069	30	6	1998	15	0	58.69	1.91	0.99	4	0	436816.7751	6506047.675
2635	170001070	30	6	1998	15	10	58.72	1.9	0.99	4	1	436291.9468	6509397.221
2636	170001071	30	6	1998	15	20	58.75	1.9	0.99	4	0	436346.7662	6512737.316
2637	170001072	30	6	1998	15	30	58.78	1.89	0.99	4	0	435823.4694	6516086.963
2638	170001073	30	6	1998	15	40	58.81	1.88	1.03	4	0	435301.1886	6519436.701
2639	170001074	30	6	1998	15	50	58.84	1.88	1.03	4	0	435357.0587	6522776.831
2640	170001075	30	6	1998	16	0	58.87	1.87	1.03	4	0	434836.3113	6526126.669
2641	170001076	30	6	1998	16	10	58.9	1.87	1.03	4	0	434892.7166	6529466.824
2642	170001077	30	6	1998	16	20	58.93	1.87	1.03	4	0	434949.1399	6532806.994
2643	170001078	30	6	1998	16	30	58.96	1.86	1.03	4	0	434430.4448	6536156.942
2644	170001079	30	6	1998	16	40	58.99	1.86	1.03	4	0	434487.4039	6539497.136
2645	170001215	1	7	1998	17	38	58.99	-2.52	0.57	4	0	183001.9082	6552041.753
2646	170001216	1	7	1998	17	43	58.98	-2.54	0.57	4	0	181762.6903	6551025.866
2647	170001217	1	7	1998	17	48	58.96	-2.55	0.57	4	0	181004.0783	6548851.499
2648	170001218	1	7	1998	17	53	58.95	-2.56	0.57	4	2	180337.4956	6547788.289
2649	170001219	1	7	1998	17	58	58.93	-2.57	0.57	4	1	179577.7824	6545614.157
2650	170001220	1	7	1998	18	3	58.92	-2.56	0.52	4	0	180059.5636	6544455.183
2651	170001221	1	7	1998	18	8	58.92	-2.53	0.52	4	0	181783.3382	6544311.859
2652	170001222	1	7	1998	18	13	58.92	-2.5	0.52	4	0	183507.1539	6544169.311
2653	170001223	1	7	1998	18	18	58.92	-2.47	0.52	4	0	185231.0104	6544027.54
2654	170001224	1	7	1998	18	23	58.91	-2.44	0.52	4	0	186864.2858	6542775.406
2655	170001225	1	7	1998	18	28	58.91	-2.41	0.52	4	0	188588.724	6542635.162
2656	170001226	1	7	1998	18	33	58.91	-2.38	0.52	4	0	190313.2024	6542495.696
2657	170001227	1	7	1998	18	38	58.91	-2.35	0.52	4	0	192037.7208	6542357.006
2658	170001228	1	7	1998	18	43	58.91	-2.32	0.52	4	1	193762.2788	6542219.094
2659	170001229	1	7	1998	18	48	58.91	-2.29	0.52	4	0	195486.8764	6542081.958
2660	170001230	1	7	1998	18	53	58.91	-2.26	0.52	4	0	197211.5132	6541945.599
2661	170001231	1	7	1998	18	58	58.92	-2.23	0.52	4	0	199023.3066	6542921.336
2662	170001232	1	7	1998	19	3	58.92	-2.2	0.52	3	0	200747.5207	6542786.555
2663	170001233	1	7	1998	19	8	58.92	-2.17	0.52	3	0	202471.7734	6542652.552
2664	170001234	1	7	1998	19	13	58.92	-2.14	0.52	3	0	204196.0645	6542519.324
2665	170001235	1	7	1998	19	18	58.92	-2.11	0.52	3	0	205920.3937	6542386.874
2666	170001236	1	7	1998	19	23	58.92	-2.08	0.52	3	0	207644.7609	6542255.2
2667	170001237	1	7	1998	19	28	58.92	-2.05	0.52	3	0	209369.1657	6542124.302
2668	170001238	1	7	1998	19	33	58.92	-2.02	0.48	3	0	211093.608	6541994.181
2669	170001239	1	7	1998	19	38	58.92	-1.99	0.48	3	0	212818.0875	6541864.836
2670	170001240	1	7	1998	19	43	58.92	-1.96	0.48	3	0	214542.6041	6541736.268
2671	170001241	1	7	1998	19	48	58.92	-1.94	0.48	3	0	215692.3022	6541650.987
2672	170001242	1	7	1998	19	53	58.92	-1.91	0.48	3	0	217416.88	6541523.713
2673	170001243	1	7	1998	19	58	58.92	-1.88	0.48	3	0	219141.4942	6541397.216
2674	170001244	2	7	1998	4	47	58.92	-1.88	0.54	4	0	219141.4942	6541397.216
2675	170001245	2	7	1998	4	52	58.92	-1.85	0.54	4	0	220866.1445	6541271.494
2676	170001246	2	7	1998	4	57	58.92	-1.82	0.54	4	0	222590.8308	6541146.549
2677	170001247	2	7	1998	5	2	58.92	-1.79	0.54	4	0	224315.5529	6541022.381
2678	170001248	2	7	1998	5	7	58.92	-1.75	0.54	4	0	226615.2375	6540858.03
2679	170001249	2	7	1998	5	12	58.92	-1.72	0.54	4	0	228340.042	6540735.673
2680	170001250	2	7	1998	5	17	58.92	-1.69	0.54	4	0	230064.8816	6540614.092
2681	170001251	2	7	1998	5	22	58.92	-1.66	0.54	4	0	231789.7559	6540493.287
2682	170001252	2	7	1998	5	27	58.92	-1.63	0.54	4	0	233514.6647	6540373.259
2683	170001253	2	7	1998	5	32	58.91	-1.6	0.54	4	0	235162.9988	6539142.194
2684	170001254	2	7	1998	5	37	58.91	-1.57	0.54	4	0	236888.4763	6539023.696
2685	170001255	2	7	1998	5	42	58.91	-1.53	0.54	4	0	239189.1656	6538866.907
2686	170001256	2	7	1998	5	47	58.91	-1.5	0.54	4	0	240914.7217	6538750.22
2687	170001257	2	7	1998	5	52	58.91	-1.47	0.54	4	0	242640.3112	6538634.31
2688	170001258	2	7	1998	5	57	58.91	-1.45	0.5	4	0	243790.7226	6538557.468
2689	170001259	2	7	1998	6	2	58.91	-1.42	0.5	4	0	245516.3671	6538442.851
2690	170001260	2	7	1998	6	7	58.91	-1.39	0.5	4	0	247242.0443	6538329.011
2691	170001261	2	7	1998	6	12	58.91	-1.36	0.5	4	0	248967.754	6538215.947
2692	170001262	2	7	1998	6	17	58.92	-1.33	0.5	4	0	250765.6032	6539215.663
2693	170001263	2	7	1998	6	22	58.92	-1.3	0.5	4	0	252490.8771	6539104.172
2694	170001264	2	7	1998	6	27	58.92	-1.27	0.5	4	0	254216.1829	6538993.457
2695	170001265	2	7	1998	6	32	58.92	-1.24	0.5	4	0	255941.5202	6538883.518
2696	170001266	2	7	1998	6	37	58.92	-1.22	0.5	4	0	257091.7626	6538810.656
2697	170001267	2	7	1998	6	42	58.92	-1.19	0.5	4	0	258817.1521	6538702.01
2698	170001268	2	7	1998	6	47	58.92	-1.16	0.5	4	0	260542.5727	6538594.14
2699	170001269	2	7	1998	6	52	58.92	-1.13	0.5	4	0	262268.0241	6538487.047
2700	170001270	2	7	1998	6	57	58.92	-1.1	0.45	4	0	263993.506	6538380.728
2701	170001271	2	7	1998	7	2	58.92	-1.08	0.45	4	0	265143.8441	6538310.281
2702	170001272	2	7	1998	7	7	58.92	-1.05	0.45	4	0	266869.3765	6538205.256
2703	170001273	2	7	1998	7	12	58.92	-1.02	0.45	4	0	268594.9388	6538101.007
2704	170001274	2	7	1998	7	17	58.92	-1	0.45	4	0	269745.3303	6538031.939
2705	170001275	2	7	1998	7	22	58.92	-0.97	0.45	4	0	271470.9421	6537928.983
2706	170001276	2	7	1998	7	27	58.92	-0.94	0.45	4	0	273196.5832	6537826.802
2707	170001277	2	7	1998	7	32	58.92	-0.92	0.45	4	2	274347.0269	6537759.113
2708	170001278	2	7	1998	7	37	58.92	-0.89	0.45	4	0	276072.7165	6537658.226
2709	170001279	2	7	1998	7	42	58.92	-0.86	0.45	4	0	277798.4349	6537558.115
2710	170001280	2	7	1998	7	47	58.92	-0.84	0.45	4	0	278948.9297	6537491.805
2711	170001281	2	7	1998	8	2	58.92	-0.79	0.45	4	0	281825.2218	6537327.538
2712	170001282	2	7	1998	8	7	58.92	-0.76	0.45	4	0	283551.0345	6537230.013
2713	170001283	2	7	1998	8	12	58.92	-0.73	0.45	4	0	285276.875	6537133.263
2714	170001284	2	7	1998	8	17	58.92	-0.71	0.45	4	0	286427.4507	6537069.194
2715	170001285	2	7	1998	8	22	58.92	-0.68	0.45	4	0	288153.3371	6536973.737
2716	170001286	2	7	1998	8	27	58.92	-0.66	0.45	4	0	289303.9431	6536910.53
2717	170001287	2	7	1998	8	32	58.92	-0.63	0.45	4	7	291029.8747	6536816.365
2718	170001288	2	7	1998	8	37	58.92	-0.59	0.45	4	0	293331.1585	6536692.019
2719	170001289	2	7	1998	8	42	58.92	-0.54	0.54	4	0	296207.8295	6536538.526
2720	170001290	2	7	1998	8	47	58.92	-0.51	0.54	4	0	297933.8671	6536447.464
2721	170001291	2	7	1998	8	52	58.92	-0.48	0.54	4	0	299659.9307	6536357.178
2722	170001292	2	7	1998	8	57	58.92	-0.45	0.54	4	3	301386.0199	6536267.667
2723	170001293	2	7	1998	9	2	58.92	-0.42	0.54	4	0	303112.1347	6536178.932
2724	170001294	2	7	1998	9	7	58.92	-0.39	0.54	4	0	304838.2747	6536090.972
2725	170001295	2	7	1998	9	12	58.92	-0.36	0.54	4	0	306564.4397	6536003.788
2726	170001296	2	7	1998	9	17	58.92	-0.32	0.54	4	0	308866.0318	6535888.749
2727	170001297	2	7	1998	9	22	58.92	-0.29	0.54	4	0	310592.2544	6535803.374
2728	170001298	2	7	1998	9	27	58.92	-0.26	0.54	4	0	312318.5014	6535718.775
2729	170001299	2	7	1998	9	32	58.92	-0.23	0.54	4	0	314044.7724	6535634.951
2730	170001300	2	7	1998	9	37	58.92	-0.2	0.54	4	0	315771.0673	6535551.903
2731	170001301	2	7	1998	9	42	58.92	-0.17	0.51	4	2	317497.3859	6535469.63
2732	170001302	2	7	1998	9	47	58.92	-0.14	0.51	4	0	319223.7278	6535388.133
2733	170001303	2	7	1998	9	52	58.92	-0.11	0.51	4	0	320950.093	6535307.411
