Station	Year	Month	Day	Date	CumDate	DayNumber	Latitude	Longitude	Zone	Easting	Northing	Depth	Temperature	Salinity	BottomType	SweptArea	RA	AC	SB
185	2003	12	4	2003-12-04	2164	338	-34.3733408	-53.516677	22H	268584.8345	6193576.952	25.5	16.6369	31.2835	1	0.01178	0	0	0
186	2003	12	4	2003-12-04	2164	338	-34.4983433	-53.5233438	22H	268317.2051	6179695.815	27.5	15.8343	31.8014	1	0.00907	0	0	0
187	2003	12	4	2003-12-04	2164	338	-34.5116769	-53.66668	22H	255192.3646	6177878.795	27.5	16.1054	31.559	1	0.0094	1	0	0
188	2003	12	5	2003-12-05	2165	339	-34.8133496	-54.4300086	21H	735074.9191	6144644.361	21.5	14.9405	32.1946	1	0.00957	0	2	15
189	2003	12	5	2003-12-05	2165	339	-34.9800196	-54.5966786	21H	719382.5785	6126534.002	31	16.006	31.6714	1	0.01074	0	0	12
190	2003	12	5	2003-12-05	2165	339	-35.0383341	-54.816683	21H	699154.8911	6120526.675	28.5	16.3303	31.4852	1	0.00978	0	0	13
191	2003	12	5	2003-12-05	2165	339	-35.1933372	-54.9316853	21H	688305.9749	6103556.865	23	16.2449	31.7608	2	0.01007	0	0	1
192	2003	12	5	2003-12-05	2165	339	-35.1150023	-55.0400008	21H	678614.458	6112445.762	25	16.4306	31.513	1	0.01105	0	0	6
193	2003	12	5	2003-12-05	2165	339	-35.1533364	-55.3033394	21H	654541.3897	6108634.621	25	16.4306	31.513	2	0.00963	2	0	1
194	2003	12	5	2003-12-05	2165	339	-34.9950199	-55.33334	21H	652102.0994	6126240.275	13.5	17.6252	30.4226	1	0.00908	1	0	11
195	2003	12	6	2003-12-06	2166	340	-35.1950039	-55.533344	21H	633521.4373	6104346.303	13.5	17.6252	30.4226	2	0.00801	3	2	3
196	2003	12	6	2003-12-06	2166	340	-35.0866684	-55.5850117	21H	628988.2172	6116430.019	16.5	18.321	28.1418	1	0.00843	1	0	37
197	2003	12	6	2003-12-06	2166	340	-34.9016847	-55.6700134	21H	621512.2608	6137052.617	11.5	18.6336	24.2562	1	0.00845	0	0	4
198	2003	12	6	2003-12-06	2166	340	-34.8316833	-55.8183497	21H	608050.5646	6144985.91	8.5	19.1328	16.0987	1	0.00764	0	0	1
199	2003	12	6	2003-12-06	2166	340	-34.9983533	-55.800016	21H	609505.4813	6126481.785	12.5	18.932	22.1395	1	0.0081	0	0	1
200	2003	12	6	2003-12-06	2166	340	-35.0916685	-55.8900178	21H	601176.7874	6116227.717	12.5	19.2225	20.9562	1	0.00834	0	0	7
201	2003	12	6	2003-12-06	2166	340	-35.066668	-56.0933352	21H	582668.6855	6119187.857	9.5	19.3382	13.1473	2	0.00785	0	0	1
202	2003	12	6	2003-12-06	2166	340	-35.1800036	-56.2283379	21H	570261.6122	6106722.314	8.5	19.6168	13.9497	1	0.00738	0	0	0
203	2003	12	7	2003-12-07	2167	341	-35.1350027	-56.5733448	21H	538869.0622	6111902.195	7.5	19.7333	3.6894	1	0.00769	0	0	0
204	2003	12	7	2003-12-07	2167	341	-35.0150003	-56.5100102	21H	544704.4064	6125183.773	7	19.7708	4.7431	1	0.00717	0	0	0
205	2003	12	7	2003-12-07	2167	341	-34.916685	-56.6766802	21H	529533.3947	6136148.493	7.5	20.0514	0.5514	1	0.00803	0	0	0
206	2003	12	7	2003-12-07	2167	341	-35.0583345	-56.7366814	21H	524011.2217	6120456.137	7.5	20.0368	0.1466	1	0.00768	0	0	0
207	2003	12	7	2003-12-07	2167	341	-35.1850037	-56.8250165	21H	515931.5202	6106426.397	8	20.0057	1.6064	1	0.0072	0	0	0
208	2003	12	7	2003-12-07	2167	341	-35.3300066	-56.5950119	21H	536806.9517	6090284.235	8.3	19.3532	11.7677	1	0.00705	0	0	0
209	2003	12	7	2003-12-07	2167	341	-35.5483443	-56.5966786	21H	536556.6366	6066070.073	15.5	18.5833	19.4148	2	0.00826	0	0	12
210	2003	12	8	2003-12-08	2168	342	-35.5350107	-56.0966686	21H	581891.4705	6067248.442	11.5	18.8947	23.2176	3	0.00757	0	0	2
211	2003	12	8	2003-12-08	2168	342	-35.4550091	-56.2866724	21H	564730.4972	6076262.517	9.5	19.2493	17.9084	2	0.00736	0	0	10
212	2003	12	8	2003-12-08	2168	342	-35.3533404	-56.0316673	21H	587981.8334	6087341.474	8.5	19.2238	17.5609	3	0.00856	0	0	2
213	2003	12	8	2003-12-08	2168	342	-35.4100082	-55.6850137	21H	619396.5276	6080693.079	13.5	18.1444	28.2499	3	0.00745	0	0	0
214	2003	12	8	2003-12-08	2168	342	-35.5566778	-55.8050161	21H	608303.1746	6064563.826	14	18.2469	27.5039	3	0.00856	0	0	0
215	2003	12	8	2003-12-08	2168	342	-35.6966806	-55.9433522	21H	595598.2419	6049178.86	11.5	18.2927	26.6453	3	0.00873	0	0	1
216	2003	12	8	2003-12-08	2168	342	-35.9950199	-55.8250165	21H	605907.4432	6015965.638	15.5	17.0568	30.0637	3	0.00804	1	1	0
217	2003	12	9	2003-12-09	2169	343	-35.4933432	-56.7883491	21H	519196.8741	6072224.232	7.5	18.5754	14.1699	1	0.00713	0	0	0
218	2003	12	9	2003-12-09	2169	343	-35.5716781	-56.9016847	21H	508908.5925	6063552.563	7	18.6804	12.1103	1	0.00907	0	0	0
219	2003	12	9	2003-12-09	2169	343	-35.6816803	-56.916685	21H	507539.0441	6051353.72	11.5	18.8055	13.9729	2	0.00861	0	0	0
220	2003	12	9	2003-12-09	2169	343	-35.800016	-57.0350007	21H	496837.5249	6038231.76	10.5	18.9625	13.253	2	0.00873	0	0	0
221	2003	12	9	2003-12-09	2169	343	-35.8266832	-57.1533364	21H	486149.9738	6035263.787	9.5	18.9806	12.4413	2	0.00851	0	0	0
222	2003	12	9	2003-12-09	2169	343	-35.9716861	-57.0033334	21H	499699.4612	6019191.96	9.5	18.7248	16.854	2	0.00821	0	0	0
223	2003	12	9	2003-12-09	2169	343	-36.1650033	-56.9800196	21H	501797.0272	5997749.832	6.5	18.6618	16.6381	2	0.00839	0	0	0
224	2003	12	9	2003-12-09	2169	343	-36.0583345	-56.8100162	21H	517110.1787	6009564.669	12.5	18.27	21.1744	3	0.00952	0	0	0
225	2003	12	10	2003-12-10	2170	344	-35.7216811	-56.616679	21H	534668.8763	6046852.754	12	18.5665	20.8351	3	0.00934	0	0	5
226	2003	12	10	2003-12-10	2170	344	-35.8800176	-56.6266792	21H	533697.4839	6029294.873	16.5	18.2727	22.9731	3	0.00872	0	1	2
227	2003	12	10	2003-12-10	2170	344	-35.9950199	-56.4016747	21H	553929.3328	6016438.417	15.5	18.3003	22.3224	3	0.00862	1	1	4
228	2003	12	10	2003-12-10	2170	344	-36.3516737	-56.2266712	21H	569388.1551	5976767.073	19.5	17.4735	29.6977	4	0.00983	2	1	2
229	2003	12	10	2003-12-10	2170	344	-36.3633406	-56.6250125	21H	533641.0936	5975685.267	13.5	17.9504	24.7913	2	0.00911	0	2	90
230	2003	12	10	2003-12-10	2170	344	-36.750015	-56.5033434	21H	544334.9558	5932743.721	16.5	17.5351	27.8411	3	0.00936	0	0	2
231	2003	12	11	2003-12-11	2171	345	-37.2766722	-56.7083475	21H	525855.7965	5874394.908	19.5	16.2981	32.5219	3	0.00949	0	0	0
232	2003	12	11	2003-12-11	2171	345	-37.8983513	-57.1850037	21H	483734.768	5805446.887	21.5	16.023	33.4728	3	0.00699	1	0	0
233	2005	11	13	2005-11-13	2874	317	-35.4266752	-53.9316853	22H	233836.5543	6075689.405	37.5	13.6735	33.7332	4	0.01029	1	0	0
234	2005	11	13	2005-11-13	2874	317	-35.1783369	-53.9416855	22H	232110.1492	6103215.7	20.5	14.1908	33.1864	3	0.01123	6	0	0
235	2005	11	13	2005-11-13	2874	317	-35.016667	-53.8783509	22H	237360.9583	6121321.254	31	13.4901	33.5827	2	0.01029	2	1	0
236	2005	11	13	2005-11-13	2874	317	-34.8800176	-53.8800176	22H	236771.9319	6136477.266	39.5	13.3163	33.5414	2	0.00928	4	0	1
237	2005	11	13	2005-11-13	2874	317	-34.8633506	-53.6483463	22H	257902.8315	6138911.008	33	13.0929	33.5717	2	0.01091	8	0	0
238	2005	11	13	2005-11-13	2874	317	-35.0233338	-53.6716801	22H	256243.6064	6121106.297	30.5	14.1703	33.6032	2	0.01052	2	0	2
239	2005	11	13	2005-11-13	2874	317	-34.9616859	-53.4550091	22H	275848.2445	6128453.002	29.5	13.2467	33.6145	2	0.00994	6	0	0
240	2005	11	14	2005-11-14	2875	318	-34.7316813	-54.2250045	21H	754081.8802	6153204.63	25.5	13.1751	33.4442	1	0.01022	5	0	4
241	2005	11	14	2005-11-14	2875	318	-34.5116769	-53.9466856	22H	229479.3916	6177164.575	20.5	13.531	32.7657	2	0.01085	4	0	1
242	2005	11	14	2005-11-14	2875	318	-34.7150143	-53.733348	22H	249682.1624	6155158.14	42.5	12.2326	33.4513	1	0.01055	0	0	3
243	2005	11	14	2005-11-14	2875	318	-34.5900118	-53.4950099	22H	271170.5447	6169592.006	33.5	12.1254	33.4244	1	0.01075	0	0	0
244	2005	11	14	2005-11-14	2875	318	-34.716681	-53.4083415	22H	279457.0528	6155734.505	43	12.4154	33.5072	2	0.01127	1	0	0
245	2005	11	14	2005-11-14	2875	318	-34.8416835	-53.2816723	22H	291374.1007	6142139.423	43	12.7176	33.5734	2	0.01055	1	0	4
246	2005	11	14	2005-11-14	2875	318	-35.0183337	-53.2566718	22H	294102.5781	6122596.298	39.5	12.9312	33.692	3	0.01203	2	2	0
247	2005	11	15	2005-11-15	2876	319	-34.7150143	-53.1050021	22H	307236.1163	6156542.906	43	12.0296	33.5726	2	0.01144	1	0	1
248	2005	11	15	2005-11-15	2876	319	-34.5566778	-52.8866844	22H	326902.3068	6174500.985	38.5	12.0873	33.5046	2	0.01244	5	0	0
249	2005	11	15	2005-11-15	2876	319	-34.3650073	-52.7850157	22H	335856.3659	6195927.979	48	12.6776	32.9628	1	0.01018	7	0	0
250	2005	11	15	2005-11-15	2876	319	-34.2766722	-52.9450189	22H	320953.4747	6205454.515	56.5	11.948	33.3661	2	0.00994	18	1	9
251	2005	11	15	2005-11-15	2876	319	-34.3900078	-53.0933352	22H	307557.3666	6192613.192	51	11.964	33.4484	2	0.0145	15	0	5
252	2005	11	15	2005-11-15	2876	319	-34.483343	-53.2816723	22H	290473.3852	6181887.029	28	12.1585	33.3978	1	0.01093	4	0	2
253	2005	11	15	2005-11-15	2876	319	-34.2883391	-53.2716721	22H	290907.3074	6203536.915	18	13.6463	32.2263	1	0.01157	0	0	0
254	2005	11	16	2005-11-16	2877	320	-34.0800016	-53.200004	22H	297006.3518	6226789.105	20	12.3927	33.1999	2	0.01093	8	0	3
255	2005	11	16	2005-11-16	2877	320	-33.8883511	-53.4383421	22H	274504.2708	6247546.974	13.5	18.8505	30.0604	2	0.00857	1	1	157
256	2005	11	16	2005-11-16	2877	320	-34.1416695	-53.5916785	22H	261031.7682	6219101.251	15	16.795	30.162	2	0.01052	7	3	58
257	2005	11	16	2005-11-16	2877	320	-34.3733408	-53.5200104	22H	268278.2473	6193569.339	22	13.3876	32.5017	1	0.01008	1	0	8
258	2005	11	16	2005-11-16	2877	320	-34.516677	-53.66668	22H	255207.0026	6177324.131	27.5	12.4787	33.2962	1	0.00914	0	0	0
259	2005	11	16	2005-11-16	2877	320	-34.7216811	-53.9966866	22H	225580.4336	6153730.94	28	12.4455	33.4059	1	0.0107	8	0	5
260	2005	11	17	2005-11-17	2878	321	-35.5383441	-54.5016767	21H	726496.428	6064382.654	29.5	13.8186	33.0939	3	0.0108	0	2	0
261	2005	11	17	2005-11-17	2878	321	-35.2900058	-54.2700054	21H	748265.8931	6091377.141	21	14.1155	32.8885	4	0.01094	5	4	0
262	2005	11	17	2005-11-17	2878	321	-35.1300026	-54.6150123	21H	717310.6763	6109936.486	35	13.6747	33.5661	1	0.01116	11	0	0
263	2005	11	17	2005-11-17	2878	321	-34.9416855	-54.3766742	21H	739581.5512	6130281.141	32	12.6403	33.4302	1	0.01197	3	0	3
264	2005	11	17	2005-11-17	2878	321	-34.933352	-54.6466796	21H	714939.3314	6131819.435	22	13.251	33.5222	1	0.01182	2	4	26
265	2005	11	17	2005-11-17	2878	321	-35.0316673	-54.8250165	21H	698410.7348	6121282.795	29.5	13.2913	33.473	2	0.01107	1	1	14
266	2005	11	18	2005-11-18	2879	322	-35.1916705	-55.4766762	21H	638686.4312	6104638.413	13.5	14.5253	32.0045	2	0.00904	0	0	1
267	2005	11	18	2005-11-18	2879	322	-35.0866684	-55.5816783	21H	629292.1061	6116425.699	17.5	13.8597	32.2325	1	0.00963	1	2	6
268	2005	11	18	2005-11-18	2879	322	-34.9216851	-55.5533444	21H	632140.2483	6134686.614	14.5	14.3341	32.3184	1	0.00312	1	1	5
269	2005	11	18	2005-11-18	2879	322	-34.950019	-55.2516717	21H	659643.3851	6131104.048	18.5	13.0954	32.6091	1	0.00993	0	0	20
270	2005	11	18	2005-11-18	2879	322	-35.1150023	-55.1116689	21H	672082.5321	6112571.991	28.5	13.4197	33.2916	1	0.01036	2	0	7
271	2005	11	18	2005-11-18	2879	322	-35.2633386	-55.0616679	21H	676318.7823	6096030.786	23.5	14.0089	33.0065	2	0.00973	4	0	0
272	2005	11	18	2005-11-18	2879	322	-35.3516737	-54.8400168	21H	696270.5325	6085815.375	28.5	14.3608	33.2217	3	0.00944	3	0	0
273	2005	11	19	2005-11-19	2880	323	-35.4566758	-55.3583405	21H	648973.8162	6075073.177	21.5	13.7548	32.5043	3	0.0094	0	0	0
274	2005	11	19	2005-11-19	2880	323	-35.6100122	-55.550011	21H	631329.0035	6058337.772	21.5	13.899	32.6313	3	0.00971	2	0	1
275	2005	11	19	2005-11-19	2880	323	-35.4216751	-55.6800136	21H	619833.268	6079393.011	14.5	15.5042	31.8713	3	0.01011	3	0	0
276	2005	11	19	2005-11-19	2880	323	-35.2250045	-55.7416815	21H	614511.5494	6101278.982	9.5	16.2856	31.7417	3	0.00818	2	1	1
277	2005	11	19	2005-11-19	2880	323	-35.1033354	-55.8800176	21H	602073.818	6114923.597	12.5	14.832	32.1955	2	0.00882	0	0	2
278	2005	11	19	2005-11-19	2880	323	-34.9600192	-55.8433502	21H	605600.0041	6130779.83	11.5	16.1623	31.2501	1	0.00975	0	0	56
279	2005	11	19	2005-11-19	2880	323	-34.8316833	-55.8066828	21H	609117.4443	6144973.279	8.5	17.2719	24.2398	1	0.00883	0	0	7
280	2005	11	20	2005-11-20	2881	324	-35.7366814	-56.066668	21H	584398.9414	6044855.272	14.5	17.7782	27.9563	3	0.00979	0	0	0
281	2005	11	20	2005-11-20	2881	324	-35.5266772	-55.9533524	21H	594894.0486	6068044.215	11.5	15.5579	29.8138	3	0.00632	2	1	3
282	2005	11	20	2005-11-20	2881	324	-35.4183417	-56.2900058	21H	564457.2243	6080331.369	10.5	18.9016	24.5435	2	0.00817	0	0	26
283	2005	11	20	2005-11-20	2881	324	-35.2700054	-56.0350007	21H	587768.9409	6096586.881	11.5	17.5113	29.4437	2	0.00817	0	0	3
284	2005	11	20	2005-11-20	2881	324	-35.1483363	-56.2966726	21H	564064.2989	6110280.428	7.5	18.5525	25.8281	1	0.00771	0	0	0
285	2005	11	20	2005-11-20	2881	324	-34.9916865	-56.1316693	21H	579245.6737	6127534.498	7	17.4151	28.6083	1	0.00864	0	0	9
286	2005	11	21	2005-11-21	2882	325	-35.9116849	-56.3250065	21H	560903.7599	6025636.484	16.5	15.4592	28.9656	3	0.00742	1	0	1
287	2005	11	21	2005-11-21	2882	325	-35.8400168	-56.6383461	21H	532660.7818	6033735.43	16.5	15.2956	27.4496	3	0.00956	0	0	0
288	2005	11	21	2005-11-21	2882	325	-35.6516797	-56.4366754	21H	550993.6965	6054538.123	13.5	17.1379	26.6745	3	0.01023	0	0	4
289	2005	11	21	2005-11-21	2882	325	-35.5483443	-56.6116789	21H	535197.0179	6066075.534	13.5	15.6852	25.4423	2	0.00985	0	0	11
290	2005	11	21	2005-11-21	2882	325	-35.3066728	-56.5250105	21H	543181.4091	6092843.777	7.5	20.2986	19.6637	1	0.00878	0	0	0
291	2005	11	21	2005-11-21	2882	325	-35.133336	-56.5650113	21H	539629.0717	6112083.746	6	20.3454	13.5004	1	0.00878	0	0	0
292	2005	11	21	2005-11-21	2882	325	-35.0116669	-56.5150103	21H	544250.012	6125555.667	7.5	20.2152	14.186	1	0.00758	0	0	0
293	2005	11	21	2005-11-21	2882	325	-34.8616839	-56.5016767	21H	545549.4124	6142182.266	7.5	20.2399	14.1025	1	0.00864	0	0	0
294	2005	11	22	2005-11-22	2883	326	-34.9033514	-56.6800136	21H	529233.6327	6137628.103	7.5	19.9336	11.7874	1	0.00788	0	0	0
295	2005	11	22	2005-11-22	2883	326	-35.0650013	-56.7266812	21H	524921.0858	6119714.351	6.5	21.52	6.7579	1	0.00801	0	0	0
296	2005	11	22	2005-11-22	2883	326	-35.2316713	-56.8600172	21H	512737.5594	6101256.001	6.5	21.564	8.6149	1	0.0074	0	0	0
297	2005	11	22	2005-11-22	2883	326	-35.3950079	-56.7550151	21H	522247.3372	6083123.082	6.5	20.8076	18.1358	1	0.00837	0	0	0
298	2005	11	22	2005-11-22	2883	326	-35.5583445	-56.8816843	21H	510722.6551	6065029.355	7.5	18.1336	20.9158	1	0.0082	0	0	0
299	2005	11	22	2005-11-22	2883	326	-35.6816803	-56.9266852	21H	506634.1414	6051354.441	10.5	16.8955	22.861	2	0.00984	0	0	0
300	2005	11	22	2005-11-22	2883	326	-35.7916825	-57.0783349	21H	492921.3398	6039153.771	9.5	20.0712	17.7125	2	0.00904	0	0	1
301	2005	11	22	2005-11-22	2883	326	-35.9266852	-57.1400028	21H	487370.2077	6024174.126	8.5	20.9685	14.0508	2	0.00236	0	0	0
302	2005	11	23	2005-11-23	2884	327	-36.033334	-55.9733528	21H	592491.8537	6011866.819	13.5	15.9643	29.3578	3	0.00961	2	2	2
303	2005	11	23	2005-11-23	2884	327	-36.2183377	-56.2466716	21H	567708.6445	5991571.249	17	15.4817	31.2206	4	0.00961	6	0	6
304	2005	11	23	2005-11-23	2884	327	-36.3450069	-56.6316793	21H	533050.7447	5977721.176	14.5	15.0016	29.9999	2	0.01452	1	2	25
305	2005	11	23	2005-11-23	2884	327	-36.133336	-56.6183457	21H	534339.6762	6001195.03	16.5	15.046	29.5656	2	0.0091	1	1	5
306	2005	11	23	2005-11-23	2884	327	-36.0650013	-56.8100162	21H	517108.7353	6008825.215	13.5	15.4425	26.8404	3	0.00821	0	0	49
307	2005	11	23	2005-11-23	2884	327	-36.1600032	-56.9716861	21H	502546.6997	5998304.245	6.5	15.2019	28.7835	2	0.00891	0	0	3
308	2005	11	23	2005-11-23	2884	327	-36.0033334	-56.9600192	21H	503603.2229	6015681.085	7	21.3695	17.0033	2	0.008	0	0	14
309	2005	11	24	2005-11-24	2885	328	-36.816683	-56.6016787	21H	535526.0442	5925389.264	10.5	17.8725	31.6029	2	0.00828	0	0	0
310	2005	11	24	2005-11-24	2885	328	-36.6266792	-56.4450089	21H	549621.5165	5946396.634	17.5	15.3695	32.6999	3	0.00851	1	1	1
311	2005	11	24	2005-11-24	2885	328	-36.4366754	-56.133336	21H	577678.3559	5967267.149	18	14.9587	32.9683	4	0.0093	1	2	0
312	2005	11	24	2005-11-24	2885	328	-36.2900058	-55.9516857	21H	594136.5247	5983375.139	13	15.3773	31.865	4	0.00937	2	0	0
313	2005	11	24	2005-11-24	2885	328	-36.3683407	-55.566678	21H	628582.5202	5974242.112	22	15.0695	32.9347	4	0.01197	2	1	0
314	2005	11	24	2005-11-24	2885	328	-36.4383421	-55.2783389	21H	654312.8691	5966053.919	29.5	13.4048	33.6609	4	0.00767	2	0	1
315	2005	11	25	2005-11-25	2886	329	-36.0750015	-54.8100162	21H	697205.8185	6005512.844	42	13.1606	33.6768	4	0.01034	0	3	3
316	2005	11	25	2005-11-25	2886	329	-35.8283499	-54.7983493	21H	698874.1955	6032852.494	24.5	14.6852	33.552	4	0.00992	3	4	0
317	2005	11	25	2005-11-25	2886	329	-35.7016807	-54.9616859	21H	684410.308	6047223.997	18	14.1346	32.548	3	0.00858	0	0	0
318	2005	11	25	2005-11-25	2886	329	-35.83335	-55.3433402	21H	649630.9322	6033268.587	27.5	14.3239	33.182	3	0.00874	2	0	3
319	2005	11	25	2005-11-25	2886	329	-36.0550011	-55.5450109	21H	631047.9563	6008971.64	25.5	14.507	33.2409	4	0.00772	0	1	0
320	2005	11	25	2005-11-25	2886	329	-36.183337	-55.4116749	21H	642825.4825	5994547.569	28	14.7407	33.2302	4	0.01089	7	2	0
321	2005	11	26	2005-11-26	2887	330	-36.8316833	-55.633346	21H	621870.2859	5922927.887	33	12.4871	33.6948	4	0.01093	2	0	1
322	2005	11	26	2005-11-26	2887	330	-36.6750135	-55.8933512	21H	598884.5065	5940608.035	20	14.4729	33.8203	4	0.00805	2	0	0
323	2005	11	26	2005-11-26	2887	330	-36.9316853	-56.2633386	21H	565604.3334	5912452.54	19	16.3496	33.8608	4	0.00753	1	0	0
324	2005	11	26	2005-11-26	2887	330	-37.1583365	-56.1883371	21H	572069.2071	5887254.264	27	16.2993	33.8997	3	0.01009	0	1	1
325	2005	11	26	2005-11-26	2887	330	-37.2783389	-56.5716781	21H	537971.1286	5874163.899	24.5	17.0047	33.9708	4	0.00905	0	0	0
326	2005	11	26	2005-11-26	2887	330	-37.3200064	-56.8466836	21H	513584.114	5869616.3	15.5	17.9689	34.0955	2	0.00831	0	0	0
327	2005	11	27	2005-11-27	2888	331	-37.583345	-56.6066788	21H	534727.0825	5840339.378	42.5	15.4325	33.916	2	0.01022	0	0	0
328	2005	11	27	2005-11-27	2888	331	-37.5950119	-56.9900198	21H	500881.0317	5839117.655	19.5	17.428	33.9917	3	0.00918	1	0	0
329	2005	11	27	2005-11-27	2888	331	-35.9116849	-57.1766702	21H	484059.3925	6025832.495	20	15.996	33.9661	1	0.01057	2	0	0
330	2005	11	27	2005-11-27	2888	331	-38.1783369	-57.0766682	21H	493285.07	5774395.053	50.5	12.8723	33.9684	3	0.00965	1	0	3
331	2005	11	27	2005-11-27	2888	331	-38.2866724	-57.5633446	21H	450732.8207	5762227.233	33.5	15.5321	33.8934	2	0.00971	0	0	0
332	2005	11	28	2005-11-28	2889	332	-38.4783429	-57.9916865	21H	413500.1746	5740643.869	33	15.6485	33.8758	2	0.01007	0	2	0
